Customer_ID,Churn,Age,Gender,Income,Contract_Length,Plan_Type,Monthly_Charges,Call_Minutes,Data_Usage,Text_Messages,Roaming_Usage,Service_Calls,Payment_Method,Late_Payments,Satisfaction_Rating,Complaints,Contract_End_Date,Auto_Renewal,Data_Plan_Price,Contract_Changes,Device_Type
75,true,62,Male,81,57,postpaid,76,9,26,65,47,4,debit card,6,1,44,3/18/2025,true,41,61,tablet
76,false,82,Male,12,95,prepaid,69,1,57,54,70,15,bank transfer,46,5,18,6/1/2025,true,96,79,smartphone
77,false,55,Male,75,69,prepaid,56,51,14,85,71,46,credit card,51,5,83,10/18/2025,true,66,53,tablet
78,true,42,Female,63,38,postpaid,18,12,21,40,15,24,bank transfer,47,5,82,9/1/2023,false,37,77,tablet
79,false,30,Female,47,91,postpaid,78,6,15,35,59,75,credit card,92,3,43,9/29/2025,false,72,3,feature phone
80,true,58,Female,99,1,prepaid,73,55,98,38,74,99,debit card,70,4,27,8/2/2022,false,40,35,feature phone
81,true,27,Female,3,72,postpaid,100,22,81,45,16,4,credit card,65,4,75,2/5/2025,true,39,99,feature phone
82,false,66,Female,60,7,postpaid,29,97,65,28,13,94,bank transfer,11,2,36,4/11/2024,false,74,9,smartphone
83,true,40,Male,89,28,postpaid,49,63,12,79,46,65,credit card,27,1,11,6/4/2022,true,12,42,feature phone
84,true,36,Female,71,71,prepaid,78,97,27,33,24,1,credit card,67,3,24,11/30/2022,false,98,8,smartphone
85,false,36,Female,93,28,postpaid,15,47,64,70,27,86,credit card,44,5,39,9/21/2024,true,38,29,smartphone
86,true,44,Male,65,65,postpaid,18,14,87,39,25,92,debit card,86,1,76,1/16/2025,true,41,29,feature phone
87,false,59,Male,33,44,postpaid,97,28,21,7,66,93,bank transfer,76,3,13,3/19/2024,false,62,22,smartphone
88,false,47,Male,100,44,postpaid,34,11,64,73,59,93,bank transfer,12,3,97,4/11/2022,false,48,5,feature phone
89,false,69,Female,71,16,postpaid,45,79,51,99,40,21,debit card,14,3,45,5/21/2022,false,41,86,smartphone
90,true,38,Male,21,11,prepaid,51,13,60,33,61,33,debit card,35,2,4,11/27/2022,true,64,71,tablet
91,false,42,Bigender,59,81,postpaid,99,11,98,45,61,49,bank transfer,46,3,92,7/30/2025,true,52,18,smartphone
92,true,42,Male,43,40,postpaid,71,54,4,47,67,32,debit card,78,2,77,4/17/2024,true,53,13,smartphone
93,true,84,Female,74,70,postpaid,57,99,42,67,45,70,bank transfer,76,2,62,3/27/2022,false,26,33,tablet
94,false,41,Male,72,90,prepaid,20,24,68,16,20,61,debit card,64,4,43,1/8/2023,true,3,19,feature phone
95,true,50,Male,69,10,postpaid,34,15,56,39,62,87,credit card,50,2,39,3/16/2023,false,4,12,tablet
96,true,40,Female,52,42,prepaid,10,38,61,10,15,77,credit card,27,5,28,4/13/2022,false,39,7,tablet
97,true,80,Male,73,5,prepaid,50,83,76,80,58,42,debit card,51,2,62,11/11/2022,false,8,50,smartphone
98,true,84,Female,17,3,prepaid,80,51,96,14,14,56,debit card,20,2,84,6/25/2025,false,13,27,smartphone
99,true,37,Female,65,32,prepaid,49,51,96,8,58,72,debit card,73,4,58,7/3/2022,true,65,57,tablet
100,false,31,Male,87,60,postpaid,98,25,20,83,28,97,bank transfer,19,4,55,11/24/2022,false,94,94,smartphone
101,false,67,Male,65,42,prepaid,13,52,43,50,76,49,bank transfer,62,1,85,8/18/2023,true,45,31,smartphone
102,false,74,Female,78,32,prepaid,94,37,87,46,94,33,debit card,65,1,8,12/14/2023,false,76,36,smartphone
103,false,58,Female,70,51,prepaid,86,85,34,79,84,7,bank transfer,24,1,42,11/10/2024,true,59,19,smartphone
104,true,58,Female,58,92,postpaid,16,27,24,77,62,10,credit card,47,1,20,10/2/2024,false,70,52,tablet
105,false,50,Male,54,11,prepaid,94,48,37,72,58,48,debit card,22,3,53,1/22/2025,false,85,81,feature phone
106,false,69,Male,36,37,postpaid,6,91,68,45,6,14,credit card,7,2,9,10/29/2023,true,72,13,tablet
107,true,26,Male,51,40,prepaid,86,44,22,11,98,28,bank transfer,43,1,72,6/11/2022,true,16,83,feature phone
108,false,29,Male,25,41,prepaid,44,15,98,60,22,23,bank transfer,86,2,96,3/1/2024,false,47,19,smartphone
109,true,84,Female,80,41,postpaid,89,11,65,94,63,19,credit card,32,2,92,8/14/2023,true,73,100,feature phone
110,true,70,Female,48,4,prepaid,98,39,97,31,5,59,debit card,99,1,67,12/5/2023,false,26,7,smartphone
111,false,74,Female,50,31,postpaid,96,50,52,6,61,19,debit card,68,2,47,8/28/2025,false,53,77,tablet
112,true,41,Female,60,24,postpaid,5,100,35,25,10,82,bank transfer,32,4,77,10/5/2023,true,1,73,smartphone
113,true,59,Female,27,79,postpaid,21,23,83,18,69,25,credit card,67,5,20,8/18/2023,true,16,94,smartphone
114,false,19,Male,87,100,prepaid,43,42,96,7,22,78,bank transfer,97,4,39,10/13/2022,false,69,68,tablet
115,true,84,Male,53,79,postpaid,27,46,59,72,43,9,bank transfer,34,2,26,5/28/2025,false,31,10,smartphone
116,true,27,Female,96,17,prepaid,65,38,67,31,100,7,bank transfer,50,1,71,8/26/2025,true,73,29,smartphone
117,false,85,Male,71,56,postpaid,17,8,91,72,12,35,debit card,40,1,57,6/23/2025,false,61,75,feature phone
118,true,54,Female,2,57,postpaid,42,86,44,44,66,37,debit card,31,3,65,9/19/2022,false,51,32,smartphone
119,true,36,Genderfluid,52,48,prepaid,65,22,57,35,96,76,bank transfer,19,1,52,11/8/2024,false,70,4,feature phone
120,true,73,Female,31,61,postpaid,15,15,85,56,51,27,bank transfer,4,3,84,10/14/2025,false,49,65,feature phone
121,false,22,Female,24,66,postpaid,12,60,13,49,35,40,bank transfer,54,2,11,2/10/2024,true,69,17,smartphone
122,false,21,Male,11,34,prepaid,42,84,89,35,99,79,debit card,62,1,81,7/4/2025,false,68,72,smartphone
123,false,52,Male,2,52,postpaid,23,54,13,99,10,18,debit card,24,5,53,4/28/2024,true,81,74,smartphone
124,true,44,Female,12,36,prepaid,58,8,18,100,33,68,bank transfer,76,2,73,1/2/2022,false,95,41,smartphone
125,false,81,Male,78,16,prepaid,90,42,93,93,26,73,credit card,12,2,43,8/6/2022,true,23,78,feature phone
126,false,75,Male,93,37,prepaid,39,29,27,50,50,38,debit card,52,2,23,6/26/2022,false,31,37,feature phone
127,true,57,Male,100,50,prepaid,64,8,79,81,85,41,credit card,14,4,21,5/29/2025,true,10,90,tablet
128,false,76,Agender,54,6,prepaid,81,79,7,6,30,6,debit card,5,4,11,9/26/2025,true,32,13,feature phone
129,true,53,Female,40,81,prepaid,94,70,63,23,84,91,debit card,32,2,80,6/2/2022,false,84,35,feature phone
130,true,28,Female,95,72,prepaid,55,64,62,6,56,23,debit card,88,1,48,6/5/2022,true,25,96,smartphone
131,false,62,Female,4,5,prepaid,90,13,96,53,93,48,credit card,11,1,30,10/22/2023,true,48,48,feature phone
132,false,74,Female,63,36,postpaid,65,72,32,20,16,13,bank transfer,81,5,23,7/17/2023,true,47,78,feature phone
133,false,54,Male,90,56,postpaid,39,64,84,44,73,51,debit card,34,4,49,4/17/2023,false,65,15,smartphone
134,true,72,Male,96,75,prepaid,70,82,99,82,79,15,debit card,16,3,5,10/26/2023,true,63,95,smartphone
135,true,73,Female,18,95,prepaid,64,29,19,49,64,50,debit card,86,5,94,3/31/2023,false,83,59,feature phone
136,false,49,Male,72,6,prepaid,91,68,59,18,80,25,debit card,86,5,62,2/20/2024,false,77,32,tablet
137,true,80,Male,17,54,prepaid,76,33,58,54,69,57,bank transfer,31,2,64,4/30/2022,false,30,83,smartphone
138,false,49,Male,99,22,prepaid,2,68,10,24,78,18,credit card,16,3,3,7/24/2022,true,79,8,tablet
139,false,80,Male,93,35,prepaid,4,20,52,32,35,50,bank transfer,51,3,97,12/29/2025,true,78,89,feature phone
140,true,58,Female,7,26,postpaid,95,36,37,97,61,26,bank transfer,33,2,44,2/4/2024,true,91,63,smartphone
141,true,29,Female,55,86,postpaid,55,4,89,41,81,79,debit card,25,3,40,3/13/2025,false,72,72,tablet
142,true,30,Female,38,98,postpaid,40,94,3,98,34,100,bank transfer,8,1,23,5/9/2024,false,80,51,smartphone
143,true,51,Male,30,56,prepaid,72,55,24,15,51,3,debit card,19,1,7,5/6/2025,false,42,23,feature phone
144,true,24,Female,30,51,postpaid,4,38,18,48,6,54,bank transfer,31,1,10,8/26/2025,true,55,25,feature phone
145,false,20,Female,34,12,postpaid,7,27,77,44,89,45,bank transfer,70,1,44,2/11/2023,false,17,19,tablet
146,true,43,Male,95,76,prepaid,58,69,74,9,34,93,credit card,70,4,76,1/27/2022,true,6,55,feature phone
147,true,68,Female,46,5,postpaid,62,48,99,58,54,23,debit card,72,5,63,3/15/2025,false,1,29,smartphone
148,true,70,Female,19,12,postpaid,55,92,71,88,41,6,debit card,6,2,33,4/29/2024,false,84,3,tablet
149,true,26,Male,62,95,postpaid,77,14,43,16,50,46,credit card,57,4,84,9/15/2025,true,55,96,smartphone
150,false,27,Genderfluid,1,23,prepaid,42,2,24,72,73,88,bank transfer,65,3,99,6/23/2025,false,28,40,smartphone
151,true,18,Male,23,15,prepaid,89,63,69,28,14,16,bank transfer,27,1,35,11/13/2025,false,19,22,tablet
152,true,18,Female,23,26,prepaid,80,26,93,77,70,8,debit card,3,2,9,12/6/2025,true,55,62,smartphone
153,true,82,Male,99,57,prepaid,40,59,19,73,22,67,bank transfer,94,4,41,6/9/2022,true,82,91,tablet
154,true,81,Male,9,87,postpaid,27,3,76,14,18,91,bank transfer,47,1,86,2/17/2023,true,75,16,feature phone
155,false,59,Genderqueer,42,26,postpaid,10,6,57,93,27,96,credit card,85,1,22,11/8/2022,false,9,45,tablet
156,true,75,Male,30,40,postpaid,14,42,21,97,53,44,credit card,62,2,40,8/30/2023,false,90,73,tablet
157,false,64,Male,29,52,prepaid,34,15,10,32,21,30,bank transfer,41,5,51,9/24/2024,true,5,27,smartphone
158,true,83,Male,92,56,prepaid,48,93,51,35,1,95,bank transfer,38,4,11,8/8/2023,true,61,3,tablet
159,false,18,Male,77,9,postpaid,27,87,27,13,25,24,debit card,78,1,79,7/10/2023,true,9,90,tablet
160,true,28,Male,94,25,prepaid,74,9,81,47,87,11,bank transfer,11,4,73,12/2/2023,false,59,19,feature phone
161,true,83,Female,68,36,prepaid,96,80,19,66,70,79,credit card,79,3,44,7/25/2025,false,17,22,tablet
162,false,37,Male,9,63,prepaid,49,5,82,79,24,60,bank transfer,38,4,18,8/15/2022,true,55,98,tablet
163,false,66,Female,48,29,prepaid,65,49,53,19,76,63,bank transfer,43,2,20,7/5/2025,false,7,40,feature phone
164,false,56,Male,7,36,prepaid,2,38,56,4,46,82,credit card,49,5,28,5/18/2022,true,45,59,feature phone
165,true,22,Male,13,98,prepaid,55,96,52,3,57,87,credit card,71,1,63,6/8/2023,false,8,72,smartphone
166,true,83,Female,35,83,postpaid,71,68,57,14,73,3,credit card,76,4,74,7/17/2022,true,42,68,feature phone
167,true,54,Female,79,91,postpaid,92,35,62,59,54,62,bank transfer,80,1,20,7/25/2025,true,45,40,tablet
168,false,30,Genderfluid,57,63,postpaid,51,56,65,76,44,73,credit card,95,1,75,5/15/2024,true,45,86,smartphone
169,false,51,Male,8,41,postpaid,97,7,31,51,40,22,credit card,77,3,80,12/27/2024,false,98,25,smartphone
170,true,75,Female,52,45,prepaid,36,8,9,25,4,61,credit card,78,4,77,6/12/2025,true,18,96,smartphone
171,true,52,Male,8,46,postpaid,40,32,47,63,74,97,debit card,57,2,84,11/4/2024,true,73,74,feature phone
172,true,76,Agender,9,23,postpaid,82,37,77,1,41,97,credit card,62,4,21,9/5/2025,false,37,79,tablet
173,false,44,Male,97,27,postpaid,96,11,8,84,9,92,bank transfer,48,2,16,2/24/2024,true,1,69,smartphone
174,true,76,Genderqueer,23,71,prepaid,2,33,12,27,9,64,bank transfer,44,2,41,6/4/2025,false,85,14,feature phone
175,false,62,Male,84,27,postpaid,80,40,10,36,3,23,debit card,49,1,54,7/3/2023,false,25,47,tablet
176,true,85,Female,3,81,prepaid,22,14,69,24,70,14,credit card,13,2,93,10/12/2024,false,28,4,tablet
177,false,40,Male,88,61,prepaid,42,92,41,90,46,22,debit card,50,4,87,4/6/2024,false,3,75,feature phone
178,true,67,Female,12,14,prepaid,60,18,76,21,23,70,debit card,46,5,12,3/5/2025,true,49,69,smartphone
179,true,64,Agender,34,51,postpaid,31,90,85,94,72,81,debit card,25,1,91,10/11/2024,false,57,32,tablet
180,true,35,Female,87,30,prepaid,99,47,4,28,79,13,debit card,93,5,10,1/2/2023,false,59,64,smartphone
181,true,74,Male,74,50,postpaid,94,40,58,69,76,3,bank transfer,78,5,93,3/6/2025,false,38,20,tablet
182,false,33,Female,28,46,postpaid,18,91,43,10,68,48,bank transfer,67,3,50,4/4/2023,false,75,42,tablet
183,true,62,Male,34,5,postpaid,46,39,88,89,39,47,debit card,78,5,13,5/11/2025,false,28,67,smartphone
184,false,26,Male,63,13,prepaid,79,34,46,43,34,95,debit card,48,2,84,9/7/2022,true,85,54,feature phone
185,true,64,Male,76,29,postpaid,39,44,89,73,67,38,debit card,8,5,27,6/27/2025,true,37,72,tablet
186,true,30,Male,74,19,prepaid,41,81,39,64,85,22,debit card,95,4,47,12/21/2023,true,100,74,smartphone
187,true,19,Male,38,19,postpaid,41,91,13,76,13,31,bank transfer,18,1,25,6/14/2023,true,19,12,smartphone
188,false,58,Female,8,12,prepaid,29,64,80,5,100,72,credit card,16,3,51,6/3/2024,false,17,81,smartphone
189,true,57,Male,87,62,postpaid,86,17,4,4,98,46,bank transfer,95,3,17,8/23/2023,true,74,88,tablet
190,false,67,Female,34,34,prepaid,62,32,88,27,71,78,debit card,90,5,84,11/2/2024,false,87,35,smartphone
191,false,59,Female,79,70,postpaid,53,6,88,91,66,37,bank transfer,54,3,26,5/1/2023,false,51,34,smartphone
192,true,39,Genderfluid,29,39,postpaid,75,45,62,95,30,30,debit card,65,5,22,1/5/2023,true,71,67,smartphone
193,false,83,Male,70,94,prepaid,93,1,64,54,75,16,bank transfer,41,1,18,6/16/2023,false,28,87,tablet
194,true,20,Male,86,55,prepaid,1,55,64,85,9,13,debit card,69,2,70,12/28/2025,true,41,51,smartphone
195,false,63,Male,40,98,postpaid,62,25,77,87,59,62,credit card,84,4,85,8/19/2024,true,88,93,smartphone
196,false,63,Male,36,75,postpaid,90,81,47,62,59,71,debit card,23,4,75,8/7/2024,true,45,45,feature phone
197,true,72,Polygender,80,4,prepaid,74,29,12,5,61,65,debit card,84,1,46,5/18/2023,false,80,35,tablet
198,false,47,Non-binary,70,6,prepaid,12,3,81,44,75,71,bank transfer,30,5,28,5/4/2023,true,36,31,feature phone
199,true,44,Male,67,98,postpaid,79,71,85,83,73,62,debit card,1,4,28,11/19/2025,false,61,39,tablet
200,false,36,Male,90,78,prepaid,30,20,10,97,49,19,bank transfer,44,3,68,11/28/2025,false,53,19,feature phone
201,true,34,Female,43,51,prepaid,82,60,23,90,21,69,credit card,81,3,22,1/26/2025,true,93,66,smartphone
202,false,35,Female,76,45,prepaid,42,11,44,76,14,9,debit card,72,2,7,12/7/2024,true,98,81,smartphone
203,false,39,Male,100,4,prepaid,18,34,72,48,72,90,bank transfer,86,2,100,4/16/2022,false,81,52,feature phone
204,false,34,Male,65,44,postpaid,25,45,18,16,37,73,debit card,61,5,31,9/28/2022,false,40,95,tablet
205,false,63,Male,94,68,prepaid,41,16,11,38,80,79,bank transfer,63,2,83,7/26/2022,false,54,65,feature phone
206,false,79,Male,10,18,postpaid,11,4,1,47,54,65,credit card,97,3,21,5/8/2022,true,38,72,smartphone
207,false,38,Male,99,48,postpaid,62,22,18,30,35,63,bank transfer,46,5,38,4/17/2023,true,34,25,feature phone
208,false,49,Male,42,52,postpaid,39,48,72,91,15,66,debit card,37,3,46,2/9/2025,false,62,93,tablet
209,true,43,Female,60,97,prepaid,73,19,77,61,31,69,debit card,91,2,55,10/18/2022,false,49,90,smartphone
210,true,46,Male,97,46,prepaid,18,62,86,63,94,97,bank transfer,39,1,69,9/17/2023,false,83,16,feature phone
211,true,33,Male,88,61,postpaid,29,98,55,20,66,100,bank transfer,37,3,63,4/29/2022,true,37,36,tablet
212,false,26,Female,53,27,prepaid,26,12,77,62,50,14,debit card,53,2,29,1/3/2025,false,53,51,tablet
213,false,24,Male,36,92,prepaid,20,36,43,8,81,71,bank transfer,18,3,54,4/15/2024,false,100,26,feature phone
214,true,60,Female,77,96,prepaid,64,10,67,75,93,58,bank transfer,80,3,40,7/20/2025,true,41,95,smartphone
215,true,53,Female,34,3,postpaid,82,34,69,50,21,46,credit card,74,5,88,12/20/2025,false,87,55,tablet
216,false,41,Polygender,68,71,prepaid,49,82,87,98,7,41,bank transfer,35,2,92,10/3/2023,false,21,64,tablet
217,false,30,Female,77,40,prepaid,74,9,21,98,58,31,debit card,42,3,44,8/26/2025,false,55,93,tablet
218,false,38,Male,87,55,postpaid,54,39,42,5,59,79,credit card,30,2,81,9/3/2025,true,37,43,smartphone
219,true,45,Polygender,1,23,prepaid,29,23,77,20,30,58,bank transfer,66,5,56,4/2/2022,false,22,38,feature phone
220,false,80,Female,31,59,prepaid,67,40,66,15,95,82,bank transfer,16,1,83,6/2/2022,true,94,89,feature phone
221,false,37,Female,75,53,postpaid,34,75,28,52,9,60,debit card,90,2,93,4/4/2023,false,43,91,feature phone
222,true,22,Female,68,16,prepaid,16,87,40,93,93,99,debit card,19,2,71,9/14/2022,true,44,54,tablet
223,false,38,Female,85,59,postpaid,8,96,34,52,18,63,bank transfer,25,2,22,11/19/2023,true,44,46,feature phone
224,true,79,Genderqueer,81,99,postpaid,77,68,9,62,23,23,debit card,54,2,95,8/13/2023,false,49,9,smartphone
225,false,61,Male,44,46,prepaid,39,58,81,97,28,47,debit card,75,2,77,7/14/2024,true,25,63,tablet
226,true,33,Male,82,100,prepaid,42,4,51,56,74,27,debit card,44,1,7,8/28/2022,false,7,82,tablet
227,false,32,Male,25,68,prepaid,47,69,64,21,83,89,debit card,41,3,69,9/18/2022,false,36,48,tablet
228,true,82,Female,26,78,postpaid,9,72,68,23,97,46,debit card,28,5,10,9/7/2023,false,43,6,tablet
229,true,69,Female,46,16,postpaid,8,97,72,25,76,77,credit card,2,5,97,8/4/2025,false,59,78,feature phone
230,false,77,Male,75,53,postpaid,42,60,2,68,56,42,credit card,25,5,53,10/9/2025,true,90,24,tablet
231,false,33,Female,32,76,prepaid,81,16,87,1,58,50,debit card,44,3,41,3/10/2024,true,67,4,feature phone
232,true,45,Male,22,20,postpaid,37,99,44,80,35,24,bank transfer,35,2,37,10/14/2025,true,82,24,smartphone
233,true,52,Male,86,10,prepaid,60,75,6,5,78,62,debit card,24,1,42,8/23/2023,true,77,53,smartphone
